game_name,game_release_date,game_url
Pathfinder: Kingmaker - Imperial Edition Bundle,,https://store.steampowered.com/bundle/11193/Pathfinder_Kingmaker__Imperial_Edition_Bundle/?snr=1_7_7_topsellers_150_6
Ancient Enemy,"9 Apr, 2020",https://store.steampowered.com/app/993790/Ancient_Enemy/?snr=1_7_7_topsellers_150_6
Jurassic World Evolution,"11 Jun, 2018",https://store.steampowered.com/app/648350/Jurassic_World_Evolution/?snr=1_7_7_topsellers_150_6
Age of Empires II: Definitive Edition + Age of Empires II (2013),,https://store.steampowered.com/bundle/11830/Age_of_Empires_II_Definitive_Edition__Age_of_Empires_II_2013/?snr=1_7_7_topsellers_150_6
X4: Foundations,"30 Nov, 2018",https://store.steampowered.com/app/392160/X4_Foundations/?snr=1_7_7_topsellers_150_6
RESIDENT EVIL 2 / BIOHAZARD RE:2 Deluxe Edition,"24 Jan, 2019",https://store.steampowered.com/sub/281610/?snr=1_7_7_topsellers_150_6
SEGA Mega Drive and Genesis Classics,,https://store.steampowered.com/bundle/13945/SEGA_Mega_Drive_and_Genesis_Classics/?snr=1_7_7_topsellers_150_6
Deep Rock Galactic,"28 Feb, 2018",https://store.steampowered.com/app/548430/Deep_Rock_Galactic/?snr=1_7_7_topsellers_150_6
Chucklefish & Friends Bundle,,https://store.steampowered.com/bundle/4460/Chucklefish__Friends_Bundle/?snr=1_7_7_topsellers_150_6
Monster Hunter World: Iceborne Master Edition Digital Deluxe,,https://store.steampowered.com/bundle/13014/Monster_Hunter_World_Iceborne_Master_Edition_Digital_Deluxe/?snr=1_7_7_topsellers_150_6
Overcooked! 2,"7 Aug, 2018",https://store.steampowered.com/app/728880/Overcooked_2/?snr=1_7_7_topsellers_150_7
Devin Night Token Bundle Set 2,,https://store.steampowered.com/bundle/5917/Devin_Night_Token_Bundle_Set_2/?snr=1_7_7_topsellers_150_7
Plebby Quest: The Crusades,"8 Apr, 2020",https://store.steampowered.com/app/334310/Plebby_Quest_The_Crusades/?snr=1_7_7_topsellers_150_7
Stellaris: Apocalypse,"22 Feb, 2018",https://store.steampowered.com/app/716670/Stellaris_Apocalypse/?snr=1_7_7_topsellers_150_7
DOOM,"12 May, 2016",https://store.steampowered.com/app/379720/DOOM/?snr=1_7_7_topsellers_150_7
Fantasy Grounds - Ultimate Upgrade,"23 May, 2014",https://store.steampowered.com/app/300870/Fantasy_Grounds__Ultimate_Upgrade/?snr=1_7_7_topsellers_150_7
SWORD ART ONLINE Alicization Lycoris,,https://store.steampowered.com/app/1009290/SWORD_ART_ONLINE_Alicization_Lycoris/?snr=1_7_7_topsellers_150_7
Dead by Daylight,"14 Jun, 2016",https://store.steampowered.com/app/381210/Dead_by_Daylight/?snr=1_7_7_topsellers_150_7
Devin Night Top-Down Token Bundle,,https://store.steampowered.com/bundle/3487/Devin_Night_TopDown_Token_Bundle/?snr=1_7_7_topsellers_150_7
The Elder Scrolls Online - Elsweyr,"21 May, 2019",https://store.steampowered.com/app/925100/The_Elder_Scrolls_Online__Elsweyr/?snr=1_7_7_topsellers_150_7
VR Kanojo / VRカノジョ,"8 Apr, 2018",https://store.steampowered.com/app/751440/VR_Kanojo__VR/?snr=1_7_7_topsellers_150_7
Left 4 Dead 2,"16 Nov, 2009",https://store.steampowered.com/app/550/Left_4_Dead_2/?snr=1_7_7_topsellers_150_7
Fantasy Grounds,"9 May, 2014",https://store.steampowered.com/app/252690/Fantasy_Grounds/?snr=1_7_7_topsellers_150_7
The Elder Scrolls Online - Greymoor,"May 18, 2020",https://store.steampowered.com/app/1205430/The_Elder_Scrolls_Online__Greymoor/?snr=1_7_7_topsellers_150_7
